open,high,low,close,volume,date
299.84,299.84,299.84,299.84,300.0,2005-12-11 05:45:00
299.71,299.71,299.71,299.71,300.0,2005-12-12 05:45:00
300.71,300.71,300.71,300.71,301.0,2005-12-13 05:45:00
302.24,302.24,302.24,302.24,302.0,2005-12-14 05:45:00
303.12,303.12,303.12,303.12,303.0,2005-12-15 05:45:00
303.98,303.98,303.98,303.98,304.0,2005-12-18 05:45:00
304.97,304.97,304.97,304.97,305.0,2005-12-19 05:45:00
306.59,306.59,306.59,306.59,307.0,2005-12-20 05:45:00
308.13,308.13,308.13,308.13,308.0,2005-12-21 05:45:00
308.67,308.67,308.67,308.67,309.0,2005-12-22 05:45:00
300.49,300.49,300.49,300.49,300.0,2005-12-25 05:45:00
299.93,299.93,299.93,299.93,300.0,2005-12-26 05:45:00
301.09,301.09,301.09,301.09,301.0,2005-12-27 05:45:00
301.6,301.6,301.6,301.6,302.0,2005-12-28 05:45:00
302.78,302.78,302.78,302.78,303.0,2005-12-29 05:45:00
303.26,303.26,303.26,303.26,303.0,2006-01-01 05:45:00
304.16,304.16,304.16,304.16,304.0,2006-01-02 05:45:00
305.42,305.42,305.42,305.42,305.0,2006-01-03 05:45:00
305.85,305.85,305.85,305.85,306.0,2006-01-04 05:45:00
305.62,305.62,305.62,305.62,306.0,2006-01-05 05:45:00
305.44,305.44,305.44,305.44,305.0,2006-01-08 05:45:00
305.69,305.69,305.69,305.69,306.0,2006-01-09 05:45:00
305.55,305.55,305.55,305.55,306.0,2006-01-10 05:45:00
305.5,305.5,305.5,305.5,306.0,2006-01-12 05:45:00
305.66,305.66,305.66,305.66,306.0,2006-01-15 05:45:00
305.85,305.85,305.85,305.85,306.0,2006-01-16 05:45:00
305.93,305.93,305.93,305.93,306.0,2006-01-17 05:45:00
306.17,306.17,306.17,306.17,306.0,2006-01-18 05:45:00
305.27,305.27,305.27,305.27,305.0,2006-01-19 05:45:00
305.3,305.3,305.3,305.3,305.0,2006-01-22 05:45:00
305.72,305.72,305.72,305.72,306.0,2006-01-23 05:45:00
